Id no.,Dex no.,id,Species,Type 1,Type 2,HP Group,Starting HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,size helper,,,Size Class,weight helper,Weight Class,Egg Group 1,Egg Group 2,Ability 1,Ability 2,Hidden Ability,Region,Relevant?
1,1,bulbasaur-default,Bulbasaur,Grass,Poison,+1d6/lvl,20,4,4,6,6,4,2,4,28,Small,15.21,Light,Grass,Monster,Overgrow,,Chlorophyll,Kanto,y
2,2,ivysaur-default,Ivysaur,Grass,Poison,+1d6/lvl,20,6,6,8,8,6,3,3,39,Small,28.66,Light,Grass,Monster,Overgrow,,Chlorophyll,Kanto,
3,3,venusaur-default,Venusaur,Grass,Poison,+1d8/lvl,21,8,8,10,10,8,6,7,79,Medium,220.46,Medium,Grass,Monster,Overgrow,,Chlorophyll,Kanto,
4,3,venusaur-mega-evolution,Mega Venusaur,Grass,Poison,+1d8/lvl,21,10,12,12,12,8,7,10,94,Large,342.82,Heavy,Grass,Monster,Thick Fat,,,Kanto,
5,3,venusaur-gigantamax,Gigantamax Venusaur,Grass,Poison,+1d8/lvl,21,8,8,10,10,8,>78,9,500,Gargantuan,5000,Massive,Grass,Monster,Overgrow,,Chlorophyll,Kanto,
6,4,charmander-default,Charmander,Fire,,+1d4/lvl,19,5,4,6,5,6,1,12,24,Small,18.74,Light,Dragon,Monster,Blaze,,Solar Power,Kanto,y
7,5,charmeleon-default,Charmeleon,Fire,,+1d6/lvl,20,6,5,8,6,8,3,7,43,Medium,41.89,Light,Dragon,Monster,Blaze,,Solar Power,Kanto,
8,6,charizard-default,Charizard,Fire,Flying,+1d8/lvl,21,8,7,10,8,10,5,7,67,Medium,199.52,Medium,Dragon,Monster,Blaze,,Solar Power,Kanto,
9,6,charizard-mega-evolution-x,Mega X Charizard,Fire,Dragon,+1d8/lvl,21,13,11,13,8,10,5,7,67,Medium,243.61,Medium,Dragon,Monster,Tough Claws,,,Kanto,
10,6,charizard-mega-evolution-y,Mega Y Charizard,Fire,Flying,+1d8/lvl,21,10,7,15,11,10,5,7,67,Medium,221.56,Medium,Dragon,Monster,Drought,,,Kanto,
11,6,charizard-gigantamax,Gigantamax Charizard,Fire,Flying,+1d8/lvl,21,8,7,10,8,10,>91,10,500,Gargantuan,5000,Massive,Dragon,Monster,Blaze,,Solar Power,Kanto,
12,7,squirtle-default,Squirtle,Water,,+1d4/lvl,19,4,6,5,6,4,1,8,20,Small,19.84,Light,Monster,Water 1,Torrent,,Rain Dish,Kanto,y
13,8,wartortle-default,Wartortle,Water,,+1d6/lvl,20,6,8,6,8,5,3,3,39,Small,49.6,Light,Monster,Water 1,Torrent,,Rain Dish,Kanto,
